"id","Edad","GENERO","NUMERO_HIJOS","PROFESION","SERVICIO","TIEMPO_PROPIETARIO","KILOMETRAJE_INSTALACION","Edad Licencia","RELACION_ASEGURADO","CILINDRAJE","CIUDAD","Min(Recorrido (Km))","Min(Frenadas (Uni))","Min(Arrancadas (Uni))","Min(Aceleraciones (Uni))","Min(Exceso Velocidad (Min))","Min(Maxima Velocidad (Km/h))","Min(Tiempo Uso (Min))","Min(Uso Zona (Min))","Min(Fuera Zona (Min))","Min(Colision)","Max(Recorrido (Km))","Max(Frenadas (Uni))","Max(Arrancadas (Uni))","Max(Aceleraciones (Uni))","Max(Exceso Velocidad (Min))","Max(Maxima Velocidad (Km/h))","Max(Tiempo Uso (Min))","Max(Uso Zona (Min))","Max(Fuera Zona (Min))","Max(Colision)","Mean(Recorrido (Km))","Mean(Frenadas (Uni))","Mean(Arrancadas (Uni))","Mean(Aceleraciones (Uni))","Mean(Exceso Velocidad (Min))","Mean(Maxima Velocidad (Km/h))","Mean(Tiempo Uso (Min))","Mean(Uso Zona (Min))","Mean(Fuera Zona (Min))","Mean(Colision)","CLASE","MODELO","SINIESTROS_2016","SINIESTROS_2017","SINIESTROS_2018"
"99043061",25.81,1,0,10,0,4,"12,457",1.79,1,1800,1,0,0,0,0,0,0,0,0,0,0,57,67,19,0,6,120.25,57,46,57,1,5.29,0.84,3.25,0,0.07,6.09,15.91,14.35,1.56,0.01,0,2006,0,0,0
"38722518",43.31,0,0,0,0,1,"12,458",26.38,1,1200,1,0,0,0,0,0,0,0,0,0,0,27,2,10,6,2,92.5,60,30,60,1,4.97,0.1,0.01,0.51,0,0.1,19.73,0.62,19.1,0,0,2006,0,0,0
"15280639",49.83,1,0,18,0,1,"12,775",31.59,1,3000,1,1,0,0,0,0,0,3,0,0,0,60,5,1,24,10,120.25,58,56,58,0,8.73,0.13,0.01,0.34,0.4,18.19,20.69,16.72,3.97,0,2,2008,0,0,1
"37941976",34.59,0,0,10,0,1,"12,777",15.57,1,1000,1,0,0,0,0,0,0,0,0,0,0,82,4,1,6,42,129.5,59,57,59,2,7.17,0.26,0,0.18,0.55,5.23,20.14,16.05,4.08,0.01,0,2008,0,0,0
"72822754",66.09,1,4,4,0,2,"12,8",5.99,1,1600,1,1,0,0,0,0,0,4,0,0,0,53,8,30,8,17,129.5,60,58,60,0,7.53,0.54,2.4,0.56,0.23,8.63,23.05,10.43,12.62,0,0,2006,0,0,0
"95243508",73.58,1,8,18,0,1,"13,397",14.28,1,1800,1,1,0,0,0,0,0,5,0,5,0,50,3,0,16,7,105.45,60,0,60,0,9.41,0.2,0,0.43,0.39,14.98,25.29,0,25.29,0,0,2008,1,0,0
"44766105",46.55,1,0,7,0,1,"13,498",2.7,3,1600,1,1,0,0,0,0,0,3,0,0,0,44,4,1,0,5,123.95,60,57,59,1,5.8,0.19,0,0,0.08,6.75,19.44,13.62,5.82,0,0,2008,0,0,0
"40992469",61.95,0,2,6,0,1,"13,518",2.88,1,5400,1,0,0,0,0,0,0,0,0,0,0,59,6,1,25,51,107.3,60,59,60,3,8.23,0.26,0,1.38,0.63,4.8,22.97,12.01,10.97,0.01,2,2008,0,0,0
"65203867",33.68,0,0,11,0,4,"13,617",3.22,1,2500,1,0,0,0,0,0,0,0,0,0,0,62,2,1,22,16,105.45,60,60,60,2,7.99,0.03,0.02,1.14,0.16,2.3,22.68,18.14,4.54,0,0,2008,0,0,0
"97415746",30.64,0,0,20,0,1,"13,973",1.21,1,1800,1,1,0,0,0,0,0,2,0,0,0,39,14,3,11,2,109.15,58,51,58,0,5.15,0.11,0.02,0.31,0.02,1.86,16.65,3.6,13.05,0,0,2008,0,0,0
"84661371",33.52,1,0,18,0,1,"14,092",3.13,1,1400,1,1,0,0,0,0,0,4,0,0,0,64,2,1,18,14,125.8,60,60,59,0,8.38,0.01,0.01,2.06,0.15,5.36,23.73,21.1,2.62,0,0,2008,0,0,0
"6677118",61.13,1,3,7,0,2,"14,305",1.79,1,1800,1,1,0,0,0,0,0,5,0,0,0,61,2,0,19,54,116.55,60,59,60,0,7.03,0.02,0,1.97,1.14,4.27,20.55,17.71,2.85,0,0,2008,1,0,0
"11581730",57.75,1,0,4,0,1,"14,5",14.6,1,1400,1,0,0,0,0,0,0,0,0,0,0,40,3,2,7,15,90.65,60,60,60,1,6.18,0.01,0,0.97,0.03,0.17,20.64,18.39,2.25,0,0,2007,0,0,0
"87364196",51.28,1,0,21,0,1,"14,656",3.1,1,1400,1,1,0,0,0,0,0,4,4,0,0,22,1,0,10,2,101.75,53,53,2,0,3.7,0,0,1.21,0.01,1.02,15.54,15.52,0.01,0,0,2007,0,0,0
"91111363",36.87,1,1,21,0,1,"14,664",2.25,1,1800,1,1,0,0,0,0,0,2,0,0,0,62,3,0,0,11,129.5,60,47,60,0,8.58,0.16,0,0,0.14,8.45,18.11,13.32,4.78,0,0,2008,0,0,0
"16764717",51.78,0,0,5,0,2,"15,014",2.76,1,5400,1,0,0,0,0,0,0,0,0,0,0,40,35,1,13,1,98.05,60,0,60,1,5.35,0.54,0.01,1.63,0.01,0.51,20.72,0,20.72,0,2,2007,0,1,0
"95913026",44.51,1,2,3,0,1,"15,128",23.52,1,1800,1,1,0,0,0,0,0,5,0,0,0,47,29,0,3,8,114.7,60,58,60,0,11.19,3.52,0,0.05,0.23,9.39,26.88,8.64,18.23,0,2,2008,0,0,0
"49426456",60.7,0,3,18,0,10,"15,2",15.45,1,1400,1,0,0,0,0,0,0,0,0,0,0,77,2,0,25,35,123.95,60,60,60,2,8.03,0.05,0,1.81,0.63,6.58,21.22,14.35,6.87,0.01,0,2008,0,0,0
"99946637",43.88,1,0,12,0,1,"15,375",25.7,1,2500,1,1,0,0,0,0,0,5,0,0,0,51,1,0,8,0,0,60,60,50,1,6.56,0.07,0,1.12,0,0,22.4,21.21,1.19,0.01,0,2009,0,0,0
"35410645",28.74,1,0,7,0,3,"15,454",10.76,1,2500,1,1,0,0,0,0,0,3,0,0,0,27,3,1,2,2,116.55,51,51,28,0,7.11,0.23,0.01,0.28,0.08,6.68,18.68,15.32,3.35,0,0,2007,0,0,0
"55324231",29.45,0,1,12,0,2,"15,462",4.53,1,1400,1,1,0,0,0,0,0,5,0,0,0,27,5,5,4,1,127.65,51,41,41,0,6.75,0.37,1.32,0.23,0.02,2.24,19.65,15.46,4.19,0,0,2007,0,0,0
"40163611",69.36,1,4,2,0,1,"15,699",31.32,1,2000,1,1,0,0,0,0,0,3,0,0,0,75,6,1,20,57,123.95,60,60,60,0,11.6,0.18,0.03,2.61,2.58,9.78,29.05,23.35,5.7,0,0,2007,0,0,0
"44827445",34.41,0,0,12,0,1,"15,803",2.62,1,2500,1,1,0,0,0,0,0,5,0,0,0,41,2,0,0,0,0,59,38,59,0,10,0.31,0,0,0,0,25.62,15.69,9.92,0,0,2008,0,0,0
"55527824",46.67,0,1,12,0,1,"16",26.25,1,1300,1,0,0,0,0,0,0,0,0,0,0,33,2,6,10,0,0,60,55,60,1,7.77,0.01,0.02,0.92,0,0,25.26,9.9,15.36,0,0,2007,0,0,0
